2026-04-24T11:24:11.194020	DEBUG	todoapp/main.go:34	initializing postgres connection pool
2026-04-24T11:24:11.207110	DEBUG	todoapp/main.go:44	initializing feature	{"feature": "users"}
2026-04-24T11:24:11.207313	DEBUG	todoapp/main.go:49	initializing HTTP server
2026-04-24T11:24:11.207561	WARN	server/server.go:48	start HTTP server	{"addr": ":5050"}
2026-04-24T11:24:14.267839	DEBUG	middleware/common.go:80	>>> incoming HTTP request	{"request_id": "18cb79ea-3c06-4bc7-80ac-42fffe1b2207", "url": "/api/v1/users", "time": "2026-04-24T08:24:14.267836"}
2026-04-24T11:24:14.273557	DEBUG	middleware/common.go:87	<<< done HTTP request	{"request_id": "18cb79ea-3c06-4bc7-80ac-42fffe1b2207", "url": "/api/v1/users", "status_code": 200, "latency": "5.718024ms"}
2026-04-24T11:25:24.475282	DEBUG	middleware/common.go:80	>>> incoming HTTP request	{"request_id": "723ddf12-0fa1-4c43-b5aa-19cc80c21615", "url": "/api/v1/users", "time": "2026-04-24T08:25:24.475279"}
2026-04-24T11:25:24.481746	DEBUG	middleware/common.go:87	<<< done HTTP request	{"request_id": "723ddf12-0fa1-4c43-b5aa-19cc80c21615", "url": "/api/v1/users", "status_code": 201, "latency": "6.464204ms"}
2026-04-24T11:25:57.926887	DEBUG	middleware/common.go:80	>>> incoming HTTP request	{"request_id": "e85ec594-7ae7-4d8e-9cac-432ce49de524", "url": "/api/v1/users", "time": "2026-04-24T08:25:57.926885"}
2026-04-24T11:25:57.928315	DEBUG	middleware/common.go:87	<<< done HTTP request	{"request_id": "e85ec594-7ae7-4d8e-9cac-432ce49de524", "url": "/api/v1/users", "status_code": 200, "latency": "1.428124ms"}
2026-04-24T11:26:54.924060	DEBUG	middleware/common.go:80	>>> incoming HTTP request	{"request_id": "2012c729-001b-4152-85c3-70e778ee0652", "url": "/api/v1/users", "time": "2026-04-24T08:26:54.924056"}
2026-04-24T11:26:54.928209	DEBUG	middleware/common.go:87	<<< done HTTP request	{"request_id": "2012c729-001b-4152-85c3-70e778ee0652", "url": "/api/v1/users", "status_code": 201, "latency": "4.148881ms"}
2026-04-24T11:27:21.897139	DEBUG	middleware/common.go:80	>>> incoming HTTP request	{"request_id": "b48d1856-8a67-4aaf-b976-f5974e562e00", "url": "/api/v1/users", "time": "2026-04-24T08:27:21.897136"}
2026-04-24T11:27:21.900234	DEBUG	middleware/common.go:87	<<< done HTTP request	{"request_id": "b48d1856-8a67-4aaf-b976-f5974e562e00", "url": "/api/v1/users", "status_code": 201, "latency": "3.094411ms"}
2026-04-24T11:27:34.098468	DEBUG	middleware/common.go:80	>>> incoming HTTP request	{"request_id": "9bfc6a1d-a3fa-40ed-8faa-ee1c7d8d6bea", "url": "/api/v1/users", "time": "2026-04-24T08:27:34.098465"}
2026-04-24T11:27:34.101505	DEBUG	middleware/common.go:87	<<< done HTTP request	{"request_id": "9bfc6a1d-a3fa-40ed-8faa-ee1c7d8d6bea", "url": "/api/v1/users", "status_code": 201, "latency": "3.03705ms"}
2026-04-24T11:27:37.973129	DEBUG	middleware/common.go:80	>>> incoming HTTP request	{"request_id": "080208be-575f-4bdb-ae60-b2f264d7dd85", "url": "/api/v1/users", "time": "2026-04-24T08:27:37.973125"}
2026-04-24T11:27:37.974668	DEBUG	middleware/common.go:87	<<< done HTTP request	{"request_id": "080208be-575f-4bdb-ae60-b2f264d7dd85", "url": "/api/v1/users", "status_code": 200, "latency": "1.540661ms"}
2026-04-24T11:27:53.583883	DEBUG	middleware/common.go:80	>>> incoming HTTP request	{"request_id": "6f830b00-02da-464d-8442-e5e6c2def9f5", "url": "/api/v1/users?limit=2", "time": "2026-04-24T08:27:53.583879"}
2026-04-24T11:27:53.585572	DEBUG	middleware/common.go:87	<<< done HTTP request	{"request_id": "6f830b00-02da-464d-8442-e5e6c2def9f5", "url": "/api/v1/users?limit=2", "status_code": 200, "latency": "1.690181ms"}
2026-04-24T11:27:59.344677	DEBUG	middleware/common.go:80	>>> incoming HTTP request	{"request_id": "fd8be4e2-16de-40a8-8108-b35673486034", "url": "/api/v1/users?limit=1", "time": "2026-04-24T08:27:59.344675"}
2026-04-24T11:27:59.346047	DEBUG	middleware/common.go:87	<<< done HTTP request	{"request_id": "fd8be4e2-16de-40a8-8108-b35673486034", "url": "/api/v1/users?limit=1", "status_code": 200, "latency": "1.37007ms"}
2026-04-24T11:28:06.222306	DEBUG	middleware/common.go:80	>>> incoming HTTP request	{"request_id": "f3a66b7e-3849-40b5-b085-b03d0016e49f", "url": "/api/v1/users?limit=2", "time": "2026-04-24T08:28:06.222303"}
2026-04-24T11:28:06.223688	DEBUG	middleware/common.go:87	<<< done HTTP request	{"request_id": "f3a66b7e-3849-40b5-b085-b03d0016e49f", "url": "/api/v1/users?limit=2", "status_code": 200, "latency": "1.382475ms"}
2026-04-24T11:28:20.235208	DEBUG	middleware/common.go:80	>>> incoming HTTP request	{"request_id": "0300daed-90aa-4b84-b916-e6d5ca45c906", "url": "/api/v1/users?limit=2&offset=1", "time": "2026-04-24T08:28:20.235205"}
