2026-04-29T18:25:23.856796	DEBUG	todoapp/main.go:45	application time zone	{"zone": "UTC"}
2026-04-29T18:25:23.857015	DEBUG	todoapp/main.go:47	initializing postgres connection pool
2026-04-29T18:25:23.869480	DEBUG	todoapp/main.go:57	initializing feature	{"feature": "users"}
2026-04-29T18:25:23.869816	DEBUG	todoapp/main.go:62	initializing feature	{"feature": "tasks"}
2026-04-29T18:25:23.869862	DEBUG	todoapp/main.go:67	initializing feature	{"feature": "statistics"}
2026-04-29T18:25:23.869900	DEBUG	todoapp/main.go:72	initializing HTTP server
2026-04-29T18:25:23.870336	WARN	server/server.go:48	start HTTP server	{"addr": ":5050"}
2026-04-29T18:25:26.899721	DEBUG	middleware/common.go:58	>>> incoming HTTP request	{"request_id": "61488c37-8202-49e1-abf3-e348e3d6758d", "url": "/api/v1/statistics", "http_method": "GET", "time": "2026-04-29T18:25:26.899718"}
2026-04-29T18:25:26.904400	DEBUG	middleware/common.go:66	<<< done HTTP request	{"request_id": "61488c37-8202-49e1-abf3-e348e3d6758d", "url": "/api/v1/statistics", "status_code": 200, "latency": "4.677759ms"}
2026-04-29T18:26:07.185880	DEBUG	middleware/common.go:58	>>> incoming HTTP request	{"request_id": "f3291200-c24e-4f88-98c3-30624887aaa1", "url": "/api/v1/tasks/5", "http_method": "PATCH", "time": "2026-04-29T18:26:07.185877"}
2026-04-29T18:26:07.189005	DEBUG	response/handler.go:71	failed to patch task	{"request_id": "f3291200-c24e-4f88-98c3-30624887aaa1", "url": "/api/v1/tasks/5", "error": "get task: task with id='5': not found"}
2026-04-29T18:26:07.189220	DEBUG	middleware/common.go:66	<<< done HTTP request	{"request_id": "f3291200-c24e-4f88-98c3-30624887aaa1", "url": "/api/v1/tasks/5", "status_code": 404, "latency": "3.342273ms"}
2026-04-29T18:26:15.740978	DEBUG	middleware/common.go:58	>>> incoming HTTP request	{"request_id": "59126d89-b761-4af9-b4ae-05a61958f614", "url": "/api/v1/tasks/6", "http_method": "PATCH", "time": "2026-04-29T18:26:15.740975"}
2026-04-29T18:26:15.746137	DEBUG	middleware/common.go:66	<<< done HTTP request	{"request_id": "59126d89-b761-4af9-b4ae-05a61958f614", "url": "/api/v1/tasks/6", "status_code": 200, "latency": "5.158965ms"}
2026-04-29T18:26:36.626032	DEBUG	middleware/common.go:58	>>> incoming HTTP request	{"request_id": "5ee5bc38-acbc-4e23-8e5e-8f1429ec2c8e", "url": "/api/v1/statistics", "http_method": "GET", "time": "2026-04-29T18:26:36.626029"}
2026-04-29T18:26:36.627756	DEBUG	middleware/common.go:66	<<< done HTTP request	{"request_id": "5ee5bc38-acbc-4e23-8e5e-8f1429ec2c8e", "url": "/api/v1/statistics", "status_code": 200, "latency": "1.723889ms"}
